被害人,BN
死亡,EN
当庭,BP
自愿认罪,EP
赔偿,BP
经济损失,EP
取得,BP
谅解,EP
具有,BP
悔罪表现,EP
有期徒刑,BR
三年,ER
缓刑,BR
四年,ER
2,O
一,BP
死亡,EP
二,BP
受伤,EP
如实,BP
积极,SP
民事赔偿,SP
有期徒刑,BR
二年,ER
缓刑,BR
三年,ER
3,O
一,BN
死亡,EN
在,BP
等候,EP
无,BP
行为,EP
如实,BP
犯罪事实,EP
系自首,SP
主动,BP
赔偿,EP
全部,BP
经济损失,EP
取得,SP
谅解,SP
初犯,SP
有期徒刑,BR
十个月,ER
缓刑,BR
一年,ER
4,O
人,BN
死亡,EN
自愿认罪,SP
系,BP
初犯,EP
庭审,BP
认罪,EP
有期徒刑,BR
一,IR
年,IR
零,IR
二,IR
个,IR
月,ER
经济损失,BR
共计,IR
人民币,IR
182649.62,IR
元,ER
5,O
一,BN
死亡,EN
系自首,SP
有,BP
认罪,EP
悔罪表现,SP
对,BP
赔偿,EP
得到,BP
谅解,EP
适用,BP
缓刑,EP
有期徒刑,BR
一年,ER
缓刑,BR
一年,ER
完成,BR
公益劳动,ER
6,O
驾车,BN
超速,EN
一,BN
死亡,EN
及时,BP
报警,EP
留,BP
处理,EP
如实,BP
犯罪事实,EP
属,BP
自首,EP
积极,BP
损失,EP
悔罪表现,SP
取得,BP
谅解,EP
适用,BP
缓刑,EP
有期徒刑,BR
一年,ER
缓刑,BR
一年,ER
实行,BR
社区,IR
矫正,ER
7,O
1,BN
重伤,EN
肇事,BN
逃逸,EN
翻供,BN
矛盾,EN
有期徒刑,BR
一年,ER
8,O
致,BN
死亡,EN
主动,BP
报案,EP
积极,BP
被害人,EP
如实,BP
供述,EP
系自首,SP
赔偿,BP
被害人,EP
经济损失,SP
表示,BP
谅解,EP
悔罪表现,SP
适用,BP
缓刑,EP
判处拘役,BR
四个月,ER
缓刑,BR
六个月,ER
9,O
致,BN
死亡,EN
投案,BP
自首,EP
认罪,BP
好,EP
犯罪情节,BP
较轻,EP
达成,BP
协议,EP
取得,BP
谅解,EP
有,BP
悔罪表现,EP
没有,BP
危险,EP
宣告,BP
缓刑,EP
宣告,BP
缓刑,EP
有期徒刑,BR
三年,ER
缓刑,BR
四年,ER
10,O
致,BN
死亡,EN
多,BN
受伤,EN
一,BN
重伤,EN
叁级,BN
伤残,EN
弃,BN
逃逸,EN
主动,BP
投案,EP
如实,BP
罪行,EP
系自首,SP
认罪,BP
好,EP
积极,BP
经济损失,EP
取得,BP
谅解,EP
有,BP
悔罪表现,EP
适用,BP
缓刑,EP
有期徒刑,BR
三年,ER
缓刑,BR
三年,ER
中国,BR
太平洋,IR
财产,IR
保险,IR
股份,IR
有限公司,IR
秦皇岛,IR
中心,IR
支,IR
公司,ER
赔偿,BR
附带,IR
民事诉讼,ER
人民币,BR
3164.22,IR
元,ER
赔偿,BR
附带,IR
民事诉讼,ER
人民币,BR
7769.56,IR
元,ER
赔偿,BR
附带,IR
民事诉讼,ER
人民币,BR
66.22,IR
元,ER
中国,BR
人寿,IR
财产,IR
保险,IR
股份,IR
有限公司,IR
秦皇岛,IR
市中心,IR
支,IR
公司,ER
赔偿,BR
附带,IR
民事诉讼,ER
66,O
148,O
不,BR
承担,IR
本案,IR
赔偿,IR
责任,ER
11,O
未,BN
驾驶证,EN
驾驶,BN
车辆,EN
致,BN
死亡,EN
自愿认罪,SP
如实,BP
罪行,EP
有期徒刑,BR
五年,ER
12,O
致,BN
死亡,EN
在,BP
等待,EP
当庭,BP
自愿认罪,EP
积极,BP
经济损失,EP
取得,BP
谅解,EP
适用,BP
禁刑,EP
判处拘役,BR
五个月,ER
缓刑,BR
六个月,ER
13,O
